source,target,value,level
Applied mathematics,Mathematical optimization,4,1
Computer graphics (images),Astronomy,4,1
Computer hardware,Parallel computing,4,1
Algorithm,Data mining,4,1
Artificial intelligence,Engineering drawing,4,1
Computational science,Simulation,4,1
Real-time computing,Computer graphics (images),4,1
Computational science,Computer graphics (images),4,1
Distributed computing,Programming language,4,1
Data mining,Real-time computing,4,1
Engineering drawing,Artificial intelligence,4,1
Data mining,Software engineering,4,1
Computer architecture,Distributed computing,4,1
Artificial intelligence,Distributed computing,4,1
Data science,Earth science,4,1
Computer graphics (images),Mechanics,4,1
Data science,Programming language,4,1
Data mining,Natural language processing,4,1
Artificial intelligence,Mathematical optimization,4,1
Artificial intelligence,Cognitive psychology,4,1
Artificial intelligence,Optics,4,1
Data science,Cognitive science,4,1
Aerospace engineering,Simulation,4,1
Artificial intelligence,Biological system,4,1
Software engineering,World Wide Web,4,1
Computer vision,Simulation,3,1
Engineering drawing,Information retrieval,3,1
Parallel computing,Computer architecture,3,1
Computer vision,Biological system,3,1
Theoretical computer science,Mathematical optimization,3,1
Natural language processing,Data mining,3,1
Data mining,Biological system,3,1
Geometry,Mathematical analysis,3,1
Database,World Wide Web,3,1
Computational science,Mathematical optimization,3,1
Computer hardware,Embedded system,3,1
Engineering drawing,Programming language,3,1
Risk analysis (engineering),Data science,3,1
Computer vision,Anatomy,3,1
Systems engineering,Software engineering,3,1
Systems engineering,Data science,3,1
Artificial intelligence,Neuroscience,3,1
Pure mathematics,Mathematical analysis,3,1
Aerospace engineering,Mechanics,3,1
Remote sensing,Meteorology,3,1
Bioinformatics,Data mining,3,1
Parallel computing,Programming language,3,1
Computer graphics (images),Database,3,1
Computer graphics (images),Mathematical optimization,3,1
Machine learning,Natural language processing,3,1
Climatology,Meteorology,3,1
Software engineering,Data mining,3,1
Optics,Computer graphics (images),3,1
Classical mechanics,Mathematical analysis,3,1
Database,Software engineering,3,1
Programming language,Software engineering,3,1
Real-time computing,Algorithm,3,1
Computational science,Distributed computing,3,1
Nanotechnology,Chemical physics,3,1
Parallel computing,Computer vision,3,1
Systems engineering,Human–computer interaction,3,1
Database,Data science,3,1
Software engineering,Theoretical computer science,3,1
Information retrieval,Computer vision,3,1
Mathematical optimization,Theoretical computer science,3,1
Mechanics,Statistical physics,3,1
Acoustics,Computer vision,3,1
Classical mechanics,Statistical physics,3,1
Theoretical computer science,World Wide Web,3,1
Data science,Algorithm,3,1
Radiology,Computer vision,3,1
Applied mathematics,Theoretical computer science,3,1
Classical mechanics,Geometry,3,1
Computer graphics (images),Optics,3,1
World Wide Web,Computer graphics (images),3,1
Engineering drawing,Computer vision,3,1
Optics,Artificial intelligence,3,1
Computer security,World Wide Web,3,1
Software engineering,Engineering drawing,2,1
Remote sensing,Astrobiology,2,1
Control engineering,Simulation,2,1
Real-time computing,Artificial intelligence,2,1
Risk analysis (engineering),Human–computer interaction,2,1
Computer graphics (images),Computer architecture,2,1
Artificial intelligence,Acoustics,2,1
Computer vision,Cardiology,2,1
Data science,Database,2,1
Algorithm,Statistical physics,2,1
Applied mathematics,Pure mathematics,2,1
Computer vision,Multimedia,2,1
World Wide Web,Data mining,2,1
Human–computer interaction,Algorithm,2,1
Data science,Operations research,2,1
Data science,Finance,2,1
Artificial intelligence,Cognitive science,2,1
Computer vision,Engineering drawing,2,1
Climatology,Oceanography,2,1
Computer hardware,Computer graphics (images),2,1
Data mining,Statistical physics,2,1
Distributed computing,Real-time computing,2,1
Information retrieval,Software engineering,2,1
Computer graphics (images),Applied mathematics,2,1
Management science,Data mining,2,1
Artificial intelligence,Software engineering,2,1
Distributed computing,Machine learning,2,1
Artificial intelligence,Anatomy,2,1
Database,Human–computer interaction,2,1
Computer graphics (images),Acoustics,2,1
Artificial intelligence,Programming language,2,1
Data mining,Remote sensing,2,1
Astrophysics,Astronomy,2,1
Computer graphics (images),Biological system,2,1
Parallel computing,Computer hardware,2,1
Geometry,Mechanics,2,1
Computer graphics (images),Operating system,2,1
Medical physics,Computer vision,2,1
Computer graphics (images),Real-time computing,2,1
Mechanics,Simulation,2,1
World Wide Web,Programming language,2,1
Computer graphics (images),Archaeology,2,1
Aerospace engineering,Meteorology,2,1
Bioinformatics,Computational biology,2,1
Bioinformatics,Data science,2,1
Chemical physics,Biological system,2,1
Applied mathematics,Computational science,2,1
Computational science,Data mining,2,1
Multimedia,Computer vision,2,1
Natural language processing,Theoretical computer science,2,1
Computer architecture,Programming language,2,1
World Wide Web,Artificial intelligence,2,1
Discrete mathematics,Algorithm,2,1
Computer graphics (images),Meteorology,2,1
Parallel computing,Artificial intelligence,2,1
Computer graphics (images),Aerospace engineering,2,1
Artificial intelligence,Simulation,2,1
Database,Programming language,2,1
Nanotechnology,Biological system,2,1
Programming language,World Wide Web,2,1
Distributed computing,Database,2,1
Computer graphics (images),Classical mechanics,2,1
Cognitive psychology,Artificial intelligence,2,1
Computer graphics (images),Distributed computing,2,1
Theoretical computer science,Engineering drawing,2,1
Natural language processing,Linguistics,2,1
Engineering drawing,Data mining,2,1
Distributed computing,Computer graphics (images),2,1
Database,Remote sensing,2,1
Algorithm,Programming language,2,1
Computer architecture,Computational science,2,1
Knowledge management,Software engineering,2,1
Artificial intelligence,Real-time computing,2,1
Distributed computing,Parallel computing,2,1
World Wide Web,Natural language processing,2,1
Computational science,Mechanics,2,1
Geophysics,Remote sensing,1,1
Computer graphics (images),Nuclear physics,1,1
Pure mathematics,Geometry,1,1
Paleontology,Artificial intelligence,1,1
Marine engineering,Simulation,1,1
Computer graphics (images),Paleontology,1,1
Computer hardware,Human–computer interaction,1,1
Biomedical engineering,Cardiology,1,1
Systems engineering,Simulation,1,1
Computer hardware,Multimedia,1,1
Astronomy,Algorithm,1,1
Optics,Biomedical engineering,1,1
Oceanography,Astrobiology,1,1
Data science,Astronomy,1,1
Algorithm,Applied mathematics,1,1
Mechanics,Algorithm,1,1
Oceanography,Remote sensing,1,1
Geophysics,Astrobiology,1,1
Systems engineering,Aeronautics,1,1
Systems engineering,Marine engineering,1,1
Algorithm,Human–computer interaction,1,1
Data mining,Engineering drawing,1,1
Natural language processing,Computer graphics (images),1,1
Acoustics,Computer graphics (images),1,1
Aerospace engineering,Aeronautics,1,1
Aerospace engineering,Systems engineering,1,1
Artificial intelligence,Oceanography,1,1
Earth science,Petroleum engineering,1,1
Theoretical computer science,Statistical physics,1,1
Data science,Petroleum engineering,1,1
Combinatorics,Mathematical analysis,1,1
Computer hardware,Computer architecture,1,1
Geophysics,Data mining,1,1
Geophysics,Meteorology,1,1
Computational physics,Statistical physics,1,1
Computer graphics (images),Geophysics,1,1
Earth science,Meteorology,1,1
Programming language,Information retrieval,1,1
Embedded system,Simulation,1,1
Embedded system,Control engineering,1,1
Cardiology,Anesthesia,1,1
Biomedical engineering,Anesthesia,1,1
Systems engineering,Computational science,1,1
Computational science,Data science,1,1
Electrical engineering,Electronic engineering,1,1
Mechanics,Computational physics,1,1
Geophysics,Oceanography,1,1
Real-time computing,Computer engineering,1,1
Biomedical engineering,Anatomy,1,1
Aerospace engineering,Computer graphics (images),1,1
Chromatography,Computational biology,1,1
Chromatography,Data mining,1,1
Data mining,Simulation,1,1
Astrophysics,Computer graphics (images),1,1
Optics,Acoustics,1,1
Medical physics,Surgery,1,1
Pure mathematics,Theoretical computer science,1,1
Computer vision,Remote sensing,1,1
Artificial intelligence,Remote sensing,1,1
Aerospace engineering,Computational science,1,1
Geophysics,Mechanics,1,1
Meteorology,Mechanics,1,1
Marine engineering,Mechanics,1,1
Marine engineering,Meteorology,1,1
Marine engineering,Aerospace engineering,1,1
Marine engineering,Computer graphics (images),1,1
Computational science,Computer hardware,1,1
Geometry,Anatomy,1,1
Computer graphics (images),Anatomy,1,1
Mechanics,Geodesy,1,1
Visual arts,Human–computer interaction,1,1
Applied psychology,Data science,1,1
Cognitive psychology,Data mining,1,1
Biological system,Algorithm,1,1
Computer graphics (images),Natural language processing,1,1
Engineering drawing,Natural language processing,1,1
Econometrics,Machine learning,1,1
Econometrics,Data mining,1,1
Econometrics,Artificial intelligence,1,1
Econometrics,Data science,1,1
Data mining,Earth science,1,1
Public relations,Knowledge management,1,1
Public relations,Data science,1,1
Theoretical computer science,Machine learning,1,1
Computer vision,Statistics,1,1
Microeconomics,Actuarial science,1,1
Econometrics,Statistics,1,1
Cognitive psychology,Statistics,1,1
Cognitive psychology,Econometrics,1,1
Artificial intelligence,Econometrics,1,1
Biological system,Theoretical computer science,1,1
Biological system,Data mining,1,1
Biological system,Artificial intelligence,1,1
Computer security,Computer network,1,1
Computer graphics (images),Biomedical engineering,1,1
Biomedical engineering,Artificial intelligence,1,1
Mathematical optimization,Computer vision,1,1
Applied mathematics,Mechanics,1,1
Applied mathematics,Classical mechanics,1,1
Artificial intelligence,Mathematical analysis,1,1
Aerospace engineering,Remote sensing,1,1
Engineering drawing,World Wide Web,1,1
Software engineering,Multimedia,1,1
Computer graphics (images),Software engineering,1,1
Computer graphics (images),Combinatorics,1,1
Acoustics,Mechanics,1,1
Computational science,Geophysics,1,1
Aerospace engineering,Computer vision,1,1
Telecommunications,Electronic engineering,1,1
Computer vision,Speech recognition,1,1
Artificial intelligence,Speech recognition,1,1
Acoustics,Artificial intelligence,1,1
Anatomy,Biological system,1,1
Anatomy,Computer vision,1,1
Anatomy,Artificial intelligence,1,1
Biomedical engineering,Biological system,1,1
Biomedical engineering,Computer vision,1,1
Oceanography,Marine engineering,1,1
Applied mathematics,Mathematical analysis,1,1
Pure mathematics,Algorithm,1,1
Medical physics,Simulation,1,1
Aerospace engineering,Artificial intelligence,1,1
Human–computer interaction,Aerospace engineering,1,1
Archaeology,Human–computer interaction,1,1
Nuclear physics,Particle physics,1,1
Computer vision,Neuroscience,1,1
Simulation,Surgery,1,1
Computer graphics (images),Embedded system,1,1
Programming language,Computer graphics (images),1,1
Engineering drawing,Theoretical computer science,1,1
Mathematical optimization,Applied mathematics,1,1
Data science,Industrial engineering,1,1
Data mining,Industrial engineering,1,1
Distributed computing,Operating system,1,1
Multimedia,Artificial intelligence,1,1
Systems engineering,Engineering drawing,1,1
Telecommunications,Computer network,1,1
Systems engineering,Risk analysis (engineering),1,1
Earth science,Human–computer interaction,1,1
Biophysics,Cell biology,1,1
Software engineering,Earth science,1,1
Theoretical computer science,Distributed computing,1,1
Biophysics,Biological system,1,1
Theoretical computer science,Database,1,1
Distributed computing,Computational science,1,1
Distributed computing,Computer architecture,1,1
World Wide Web,Computer network,1,1
Distributed computing,Data science,1,1
Computer vision,Computer network,1,1
Real-time computing,Computer network,1,1
Data mining,Computer network,1,1
Geophysics,Computational science,1,1
Computational science,Statistical physics,1,1
Geophysics,Algorithm,1,1
Radiology,Surgery,1,1
Computer vision,Geodesy,1,1
Geometry,Geodesy,1,1
Artificial intelligence,Geodesy,1,1
Data mining,Mathematical optimization,1,1
Database,Algorithm,1,1
Management science,Software engineering,1,1
Engineering drawing,Algorithm,1,1
Data science,Cartography,1,1
Human–computer interaction,Distributed computing,1,1
Computer architecture,Computer graphics (images),1,1
Nanotechnology,Computational chemistry,1,1
Computational chemistry,Chemical physics,1,1
Computational chemistry,Biological system,1,1
Archaeology,Visual arts,1,1
Computer graphics (images),Visual arts,1,1
Computational biology,Data science,1,1
Aerospace engineering,Data science,1,1
Geometry,Chemical physics,1,1
Nanotechnology,Geometry,1,1
Oceanography,Meteorology,1,1
Real-time computing,Data mining,1,1
Real-time computing,Data science,1,1
Simulation,Real-time computing,1,1
Distributed computing,Simulation,1,1
Earth science,Geochemistry,1,1
Data science,Geophysics,1,1
Data mining,Geophysics,1,1
Multimedia,Computer network,1,1
Radiology,Biomedical engineering,1,1
Computer hardware,Algorithm,1,1
Computer hardware,Computational science,1,1
Computational science,Chemical physics,1,1
Simulation,Aerospace engineering,1,1
Computer vision,Aerospace engineering,1,1
Artificial intelligence,Aerospace engineering,1,1
Archaeology,Astronomy,1,1
Data mining,Seismology,1,1
Computational science,Information retrieval,1,1
Data science,Computational science,1,1
Computer vision,Radiology,1,1
Medical physics,Radiology,1,1
Radiology,Cardiology,1,1
Artificial intelligence,Cardiology,1,1
Geometry,Theoretical computer science,1,1
Data science,Epistemology,1,1
Data science,Meteorology,1,1
Computer hardware,Real-time computing,1,1
Acoustics,Algorithm,1,1
Parallel computing,Operating system,1,1
Computer hardware,Operating system,1,1
Real-time computing,Parallel computing,1,1
Real-time computing,Computational science,1,1
Computer engineering,Algorithm,1,1
Computational science,Computer engineering,1,1
Parallel computing,Computer engineering,1,1
Natural language processing,Cognitive science,1,1
Computer architecture,Human–computer interaction,1,1
Algorithm,Biological system,1,1
Architectural engineering,Human–computer interaction,1,1
Theoretical computer science,Biological system,1,1
Theoretical computer science,Computer vision,1,1
Statistical physics,Algorithm,1,1
Classical mechanics,Algorithm,1,1
Artificial intelligence,Computational science,1,1
Human–computer interaction,Database,1,1
Data science,Ecology,1,1
Data mining,Ecology,1,1
Applied mathematics,Discrete mathematics,1,1
Discrete mathematics,Mathematical optimization,1,1
Remote sensing,Human–computer interaction,1,1
Data mining,Meteorology,1,1
Human–computer interaction,Cognitive science,1,1
Cognitive psychology,Cognitive science,1,1
Discrete mathematics,Theoretical computer science,1,1
Cognitive psychology,Social psychology,1,1
Artificial intelligence,Social psychology,1,1
Parallel computing,Data mining,1,1
Industrial organization,Finance,1,1
World Wide Web,Multimedia,1,1
Mathematical analysis,Mechanics,1,1
Computer architecture,Theoretical computer science,1,1
Distributed computing,Computer network,1,1
Linguistics,Artificial intelligence,1,1
World Wide Web,Linguistics,1,1
Information retrieval,Linguistics,1,1
Database,Finance,1,1
Data mining,Finance,1,1
Oceanography,Earth science,1,1
Oceanography,Data science,1,1
Climatology,Earth science,1,1
Climatology,Data science,1,1
Algorithm,Information retrieval,1,1
Geometry,Computational science,1,1
Natural language processing,Algorithm,1,1
Computer vision,Medical physics,1,1
Radiology,Medical physics,1,1
Programming language,Machine learning,1,1
Programming language,Artificial intelligence,1,1
Programming language,Natural language processing,1,1
Mathematics education,Human–computer interaction,1,1
Mathematics education,Multimedia,1,1
Emergency medicine,Medical emergency,1,1
Computational biology,Information retrieval,1,1
Computational biology,Biological system,1,1
Information retrieval,Biological system,1,1
Algorithm,Machine learning,1,1
Computer architecture,Software engineering,1,1
Computational science,Software engineering,1,1
Computational science,Computer architecture,1,1
Computer security,Database,1,1
Linguistics,Information retrieval,1,1
Artificial intelligence,Linguistics,1,1
Data science,Architectural engineering,1,1
Real-time computing,Human–computer interaction,1,1
Real-time computing,Simulation,1,1
Environmental resource management,Water resource management,1,1
Environmental planning,Water resource management,1,1
Environmental planning,Environmental resource management,1,1
Genetics,Theoretical computer science,1,1
Computational biology,Theoretical computer science,1,1
Computational biology,Genetics,1,1
Risk analysis (engineering),Computer security,1,1
Real-time computing,Distributed computing,1,1
Risk analysis (engineering),Operations research,1,1
Data mining,Transport engineering,1,1
Process management,Software engineering,1,1
Process management,World Wide Web,1,1
Process management,Data science,1,1
Data science,Process management,1,1
Engineering drawing,Software engineering,1,1
Computer security,Theoretical computer science,1,1
Computer security,Machine learning,1,1
Computer security,Data mining,1,1
Computer security,Human–computer interaction,1,1
Radiology,Data science,1,1
Radiology,Data mining,1,1
Knowledge management,Multimedia,1,1
Distributed computing,Data mining,1,1
Distributed computing,Artificial intelligence,1,1
Machine learning,Programming language,1,1
Neuroscience,Human–computer interaction,1,1
Computational science,Biological system,1,1
Nanotechnology,Theoretical computer science,1,1
Nanotechnology,Artificial intelligence,1,1
Nanotechnology,Data science,1,1
Human–computer interaction,Nanotechnology,1,1
Management science,Information retrieval,1,1
Artificial intelligence,Management science,1,1
Risk analysis (engineering),Process management,1,1
Information retrieval,Physical medicine and rehabilitation,1,1
Management science,Machine learning,1,1
Human–computer interaction,Physical medicine and rehabilitation,1,1
Data science,Management science,1,1
Human–computer interaction,Management science,1,1
Internet privacy,World Wide Web,1,1
Internet privacy,Data science,1,1
Machine learning,Distributed computing,1,1
Natural language processing,Programming language,1,1
Machine learning,Software engineering,1,1
Computer graphics (images),Astrobiology,1,1
Computer graphics (images),Remote sensing,1,1
Software engineering,Machine learning,1,1
Software engineering,Artificial intelligence,1,1
Medical physics,Machine learning,1,1
Medical physics,Data mining,1,1
Mechanical engineering,Simulation,1,1
Mechanical engineering,Mechanics,1,1
Aerospace engineering,Mechanical engineering,1,1
Meteorology,Algorithm,1,1
Artificial intelligence,Physical medicine and rehabilitation,1,1
Data science,Physical medicine and rehabilitation,1,1
Computational science,Multimedia,1,1
Visualization,Set (abstract data type),292,2
Visualization,Rendering (computer graphics),290,2
Visualization,Process (computing),223,2
Visualization,Context (archaeology),197,2
Visualization,Analytics,180,2
Visualization,Domain (mathematical analysis),158,2
Visualization,Pattern recognition (psychology),145,2
Visualization,Graph,120,2
Visualization,Focus (optics),117,2
Visualization,Field (mathematics),100,2
Visualization,Scalability,96,2
Visualization,Cluster analysis,96,2
Task (project management),Visualization,95,2
Graphics,Visualization,93,2
Graphics,Computer graphics,91,2
Visualization,Computer graphics,85,2
Visualization,Variety (cybernetics),85,2
Visualization,Space (punctuation),72,2
Visualization,Animation,71,2
Visualization,Volume (thermodynamics),69,2
Visualization,Perception,68,2
Process (computing),Analytics,66,2
Software,Visualization,64,2
Visualization,Scale (ratio),63,2
Visualization,Feature (linguistics),61,2
Workflow,Visualization,60,2
Usability,Visualization,60,2
Process (computing),Set (abstract data type),60,2
Visualization,Tree (set theory),59,2
Visualization,Data set,58,2
Visualization,Computation,57,2
Data set,Set (abstract data type),57,2
Scalar (mathematics),Visualization,57,2
Point (geometry),Visualization,56,2
Visualization,Flow (mathematics),55,2
Visualization,Topology (electrical circuits),52,2
Visualization,Virtual reality,49,2
Domain (mathematical analysis),Process (computing),49,2
Focus (optics),Context (archaeology),49,2
Visualization,Hierarchy,49,2
Visualization,Grid,48,2
Multivariate statistics,Visualization,47,2
Domain (mathematical analysis),Analytics,46,2
Graphics,Rendering (computer graphics),46,2
Visualization,Data structure,46,2
Rendering (computer graphics),Computer graphics,45,2
Visualization,Node (physics),45,2
Visualization,Surface (topology),44,2
Visualization,User interface,43,2
Voxel,Rendering (computer graphics),41,2
Process (computing),Visualization,39,2
Visualization,Key (lock),38,2
Visualization,Segmentation,38,2
Visualization,Bar chart,38,2
Volume (thermodynamics),Rendering (computer graphics),38,2
Feature (linguistics),Pattern recognition (psychology),38,2
Visualization,Perspective (graphical),37,2
Dimension (graph theory),Visualization,37,2
Event (particle physics),Visualization,35,2
Visualization,Vector field,34,2
Visualization,Polygon mesh,34,2
Task (project management),Set (abstract data type),34,2
Domain (mathematical analysis),Set (abstract data type),33,2
Set (abstract data type),Context (archaeology),33,2
Process (computing),Context (archaeology),33,2
Visualization,Projection (relational algebra),33,2
Scalar (mathematics),Scalar field,32,2
Visualization,Exploratory data analysis,32,2
Visualization,Interactivity,32,2
Task (project management),Process (computing),32,2
Visualization,Data modeling,31,2
Visualization,Construct (python library),31,2
Visualization,Pipeline (software),31,2
Visualization,Dimensionality reduction,31,2
Visualization,Tensor (intrinsic definition),30,2
Voxel,Visualization,29,2
Visualization,Outlier,29,2
Visualization,Chart,29,2
Range (aeronautics),Visualization,29,2
Set (abstract data type),Analytics,29,2
Computation,Rendering (computer graphics),29,2
Visualization,Selection (genetic algorithm),28,2
Polygon mesh,Rendering (computer graphics),28,2
Visualization,Sequence (biology),28,2
Abstraction,Visualization,26,2
Task (project management),Analytics,26,2
Cluster analysis,Pattern recognition (psychology),26,2
Set (abstract data type),Pattern recognition (psychology),26,2
Rendering (computer graphics),Grid,26,2
Cluster analysis,Set (abstract data type),26,2
Identification (biology),Visualization,25,2
Field (mathematics),Vector field,25,2
Ray tracing (physics),Rendering (computer graphics),25,2
Trajectory,Visualization,25,2
Visualization,Pixel,25,2
Ranking (information retrieval),Visualization,25,2
Visualization,Presentation (obstetrics),24,2
Visualization,Quality (philosophy),24,2
Visualization,Ray tracing (physics),24,2
Visualization,Orientation (vector space),24,2
Visualization,Graphical user interface,24,2
Visualization,Deep learning,23,2
Categorical variable,Visualization,23,2
Flexibility (engineering),Visualization,23,2
Visualization,Timeline,23,2
Data structure,Rendering (computer graphics),23,2
Visualization,Plot (graphics),22,2
Object (grammar),Visualization,22,2
Visualization,Social media,22,2
Leverage (statistics),Visualization,22,2
Rendering (computer graphics),Pattern recognition (psychology),22,2
Curse of dimensionality,Visualization,22,2
Surface (topology),Topology (electrical circuits),22,2
Field (mathematics),Topology (electrical circuits),22,2
Point (geometry),Set (abstract data type),21,2
Process (computing),Focus (optics),21,2
Visualization,Embedding,21,2
Visualization,Table (database),21,2
Rendering (computer graphics),Frame rate,21,2
Feature extraction,Feature (linguistics),21,2
Visualization,Filter (signal processing),21,2
Scalar (mathematics),Topology (electrical circuits),21,2
Visualization,Metric (unit),21,2
Context (archaeology),Analytics,21,2
Focus (optics),Set (abstract data type),21,2
Component (thermodynamics),Visualization,21,2
Task (project management),Context (archaeology),20,2
Voxel,Volume (thermodynamics),20,2
Workflow,Process (computing),20,2
Task (project management),Domain (mathematical analysis),20,2
Visualization,Task (project management),20,2
Visualization,Workstation,20,2
Visualization,Class (philosophy),20,2
Rendering (computer graphics),Context (archaeology),20,2
