Year,DOI,Title,Number of Authors,Author Position,Author Name,Author ID,Author Affiliation,One Affiliation
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,2.0,2.0,D. Boyd,https://ieeexplore.ieee.org/author/37390972800,"School of Information Management and Systems, University of California, Berkeley, USA",True
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,1.0,M. Alexa,https://ieeexplore.ieee.org/author/37267466700,"Technical University of Darmstadt, Germany",True
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,2.0,J. Behr,https://ieeexplore.ieee.org/author/37726875900,"ZGDV Darmstadt, Germany",True
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,3.0,D. Cohen-Or,https://ieeexplore.ieee.org/author/38273141800,"Tel-Aviv University, Israel",True
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,4.0,S. Fleishman,https://ieeexplore.ieee.org/author/37449610700,"Tel-Aviv University, Israel",True
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,5.0,D. Levin,https://ieeexplore.ieee.org/author/38275357700,"Tel-Aviv University, Israel",True
2001,10.1109/VISUAL.2001.964489,Point set surfaces,6.0,6.0,C.T. Silva,https://ieeexplore.ieee.org/author/37275249200,"AT and T Laboratories, USA",True
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,1.0,Fernanda B. Viegas,https://ieeexplore.ieee.org/author/37681355300,"IBM Research GmbH, Switzerland",True
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,2.0,Martin Wattenberg,https://ieeexplore.ieee.org/author/37550759700,"IBM Research GmbH, Switzerland",True
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,3.0,Frank van Ham,https://ieeexplore.ieee.org/author/37326291000,"IBM Research GmbH, Switzerland",True
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,4.0,Jesse Kriss,https://ieeexplore.ieee.org/author/37830149600,"IBM Research GmbH, Switzerland",True
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,5.0,5.0,Matt McKeon,https://ieeexplore.ieee.org/author/37542455400,"IBM Research GmbH, Switzerland",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,1.0,J.A. Wise,https://ieeexplore.ieee.org/author/37358036500,"Pacific Northwest National Laboratory, Richland, WA, USA",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,2.0,J.J. Thomas,https://ieeexplore.ieee.org/author/37273308900,"Pacific Northwest National Laboratory, Richland, WA, USA",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,3.0,K. Pennock,https://ieeexplore.ieee.org/author/37352135600,"Pacific Northwest National Laboratory, Richland, WA, USA",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,4.0,D. Lantrip,https://ieeexplore.ieee.org/author/37087574966,"Pacific Northwest National Laboratory, Richland, WA, USA",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,5.0,M. Pottier,https://ieeexplore.ieee.org/author/37087574774,"Pacific Northwest National Laboratory, Richland, WA, USA",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,6.0,A. Schur,https://ieeexplore.ieee.org/author/37352142300,"Pacific Northwest National Laboratory, Richland, WA, USA",True
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,7.0,7.0,V. Crow,https://ieeexplore.ieee.org/author/37352143800,"Pacific Northwest National Laboratory, Richland, WA, USA",True
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,1.0,Ji Soo Yi,https://ieeexplore.ieee.org/author/38238292000,"Health Systems Institute, Georgia Institute of Technology, USA",True
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,2.0,Youn ah Kang,https://ieeexplore.ieee.org/author/37673524700,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",True
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,3.0,John Stasko,https://ieeexplore.ieee.org/author/37267736900,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",True
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,4.0,4.0,J.A. Jacko,https://ieeexplore.ieee.org/author/37428064500,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",False
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",2.0,1.0,C. Stolte,https://ieeexplore.ieee.org/author/37442008700,"Computer Science Department, University of Stanford, USA",True
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases",2.0,2.0,P. Hanrahan,https://ieeexplore.ieee.org/author/37349803800,"Computer Science Department, University of Stanford, USA",True
1998,10.1109/VISUAL.1998.745282,Smooth view-dependent level-of-detail control and its application to terrain rendering,1.0,1.0,H. Hoppe,https://ieeexplore.ieee.org/author/37360111200,"Microsoft Research, USA",True
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,2.0,1.0,G.M. Nielson,https://ieeexplore.ieee.org/author/37283754100,"Computer Science, Arizona State University, Tempe, AZ, USA",True
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,2.0,2.0,B. Hamann,https://ieeexplore.ieee.org/author/37282068700,"Computer Science, Arizona State University, Tempe, AZ, USA",True
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,2.0,1.0,Edward Segel,https://ieeexplore.ieee.org/author/37590964100,"University of Stanford, Stanford, CA, USA",True
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,2.0,2.0,Jeffrey Heer,https://ieeexplore.ieee.org/author/37550791300,"University of Stanford, Stanford, CA, USA",True
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,2.0,1.0,M. Garland,https://ieeexplore.ieee.org/author/37272036400,"Computer Science Department, Carnegie Mellon University, Pittsburgh, USA",True
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,2.0,2.0,P.S. Heckbert,https://ieeexplore.ieee.org/author/37372245200,"Carnegie Mellon University, USA",True
2009,10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,1.0,1.0,Tamara Munzner,https://ieeexplore.ieee.org/author/37349490300,"University of British Columbia, Canada",True
1994,10.1109/VISUAL.1994.346302,XmdvTool: integrating multiple methods for visualizing multivariate data,1.0,1.0,M.O. Ward,https://ieeexplore.ieee.org/author/37268441700,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",True
2000,10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,1.0,1.0,E.H. Chi,https://ieeexplore.ieee.org/author/37448030800,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",True
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3.0,1.0,Nathalie Henry,https://ieeexplore.ieee.org/author/37839948300,"University of Sydney, Australia",False
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3.0,2.0,Jean-Daniel Fekete,https://ieeexplore.ieee.org/author/37407972900,"INRIA Futurs and Laboratory RI UMR CNRS 5800, France",True
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,3.0,3.0,Michael J. McGuffin,https://ieeexplore.ieee.org/author/38526446600,"Ontario Cancer Institute, University of Toronto, Canada",True
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3.0,1.0,Ying-Huey Fua,https://ieeexplore.ieee.org/author/37087618342,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",True
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3.0,2.0,M.O. Ward,https://ieeexplore.ieee.org/author/37268441700,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",True
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,3.0,3.0,E.A. Rundensteiner,https://ieeexplore.ieee.org/author/37279217900,"Computer Science Department, Worcester Polytechnic Institute, Worcester, MA, USA",True
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,1.0,John Stasko,https://ieeexplore.ieee.org/author/37267736900,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",True
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,2.0,Carsten Gorg,https://ieeexplore.ieee.org/author/37428446300,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",True
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,3.0,Zhicheng Liu,https://ieeexplore.ieee.org/author/37592993600,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",True
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,4.0,4.0,Kanupriya Singhal,https://ieeexplore.ieee.org/author/37968367000,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, USA",True
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3.0,1.0,J. Kniss,https://ieeexplore.ieee.org/author/37324263400,"Scientific Computing and Imaging Institute, School of Computing, University of Utah, USA",True
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3.0,2.0,G. Kindlmann,https://ieeexplore.ieee.org/author/37282742400,"Scientific Computing and Imaging Institute, School of Computing, University of Utah, USA",True
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,3.0,3.0,C. Hansen,https://ieeexplore.ieee.org/author/37266777200,"Scientific Computing and Imaging Institute, School of Computing, University of Utah, USA",True
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,1.0,Alexander Lex,https://ieeexplore.ieee.org/author/37395933400,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,True
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,2.0,Nils Gehlenborg,https://ieeexplore.ieee.org/author/37972937500,Harvard Medical School,True
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,3.0,Hendrik Strobelt,https://ieeexplore.ieee.org/author/38108845300,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,True
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,4.0,Romain Vuillemot,https://ieeexplore.ieee.org/author/37681739300,Romain Vuillemot is with Harvard University,True
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,5.0,5.0,Hanspeter Pfister,https://ieeexplore.ieee.org/author/37275698100,Hendrik Strobelt and Hanspeter Pfister are with Harvard University.,True
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3.0,1.0,R. Amar,https://ieeexplore.ieee.org/author/37418696100,"Georgia Institute of Technology,College of Computing, GVU Center",True
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3.0,2.0,J. Eagan,https://ieeexplore.ieee.org/author/37550755100,"Georgia Institute of Technology,College of Computing, GVU Center",True
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,3.0,3.0,J. Stasko,https://ieeexplore.ieee.org/author/37267736900,"Georgia Institute of Technology,College of Computing, GVU Center",True
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3.0,1.0,S. Havre,https://ieeexplore.ieee.org/author/37282588900,"Northwest Division, Battlle-Pacific Northwest, Richland, WA, USA",True
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3.0,2.0,B. Hetzler,https://ieeexplore.ieee.org/author/37374614800,"Northwest Division, Battlle-Pacific Northwest, Richland, WA, USA",True
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,3.0,3.0,L. Nowell,https://ieeexplore.ieee.org/author/37725426400,"Northwest Division, Battlle-Pacific Northwest, Richland, WA, USA",True
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,1.0,G. Kindlmann,https://ieeexplore.ieee.org/author/37282742400,"Scientific Computing and Imaging Institute, University of Utah, USA",True
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,2.0,R. Whitaker,https://ieeexplore.ieee.org/author/37267322600,"Scientific Computing and Imaging Institute, University of Utah, USA",True
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,3.0,T. Tasdizen,https://ieeexplore.ieee.org/author/37265762400,"Scientific Computing and Imaging Institute, University of Utah, USA",True
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,4.0,4.0,T. Moller,https://ieeexplore.ieee.org/author/37275858700,"Graphics, Usability, and Visualization (GrUVi) Laboratory, Simon Fraser University, Canada",True
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",2.0,1.0,J. Stasko,https://ieeexplore.ieee.org/author/37267736900,"GVU Center and College of Computing, Georgia Institute of Technology, Atlanta, GA, USA",True
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations",2.0,2.0,E. Zhang,https://ieeexplore.ieee.org/author/37088049271,"GVU Center and College of Computing, Georgia Institute of Technology, Atlanta, GA, USA",True
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,2.0,1.0,J.J. Van Wijk,https://ieeexplore.ieee.org/author/37267249200,"Department of Mathematics and Computing Science, Eindhovan University of Technology, Eindhoven, Netherlands",True
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,2.0,2.0,E.R. Van Selow,https://ieeexplore.ieee.org/author/37087986027,"Netherlands Energy Research Foundation, Petten, Netherlands",True
1999,10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,1.0,1.0,H. Hoppe,https://ieeexplore.ieee.org/author/37360111200,"Microsoft Research Limited, USA",True
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,1.0,R. Raskar,https://ieeexplore.ieee.org/author/37089117578,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",True
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,2.0,M.S. Brown,https://ieeexplore.ieee.org/author/37277811200,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",True
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,3.0,Ruigang Yang,https://ieeexplore.ieee.org/author/37087199475,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",True
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,4.0,Wei-Chao Chen,https://ieeexplore.ieee.org/author/37087201607,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",True
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,5.0,G. Welch,https://ieeexplore.ieee.org/author/37300645000,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",True
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,6.0,H. Towles,https://ieeexplore.ieee.org/author/37298881100,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",False
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,7.0,B. Scales,https://ieeexplore.ieee.org/author/37086986181,,
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,8.0,H. Fuchs,https://ieeexplore.ieee.org/author/37285537200,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",True
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,2.0,1.0,R.S. Avila,https://ieeexplore.ieee.org/author/37323905300,"GE Corporate Research and Development Center, Schenectady, NY, USA",True
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,2.0,2.0,L.M. Sobierajski,https://ieeexplore.ieee.org/author/37378488600,"GE Corporate Research and Development Center, Schenectady, NY, USA",True
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",3.0,1.0,C. Plaisant,https://ieeexplore.ieee.org/author/37283026800,"Human-Computer Interaction Laboratory, University of Maryland, USA",True
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",3.0,2.0,J. Grosjean,https://ieeexplore.ieee.org/author/37279773300,"Human-Computer Interaction Laboratory, University of Maryland, USA",True
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",3.0,3.0,B.B. Bederson,https://ieeexplore.ieee.org/author/37279760100,"Human-Computer Interaction Laboratory, University of Maryland, USA",True
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,2.0,1.0,Jeffrey Heer,https://ieeexplore.ieee.org/author/37550791300,"Computer Science Division, University of California, Berkeley, USA",True
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,2.0,2.0,George Robertson,https://ieeexplore.ieee.org/author/37448060300,"Microsoft Research Limited, USA",True
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,3.0,1.0,Niklas Elmqvist,https://ieeexplore.ieee.org/author/37295438200,"INRIA, Paris, France",True
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,3.0,2.0,Pierre Dragicevic,https://ieeexplore.ieee.org/author/37590932700,"INRIA, Paris, France",True
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,3.0,3.0,Jean-Daniel Fekete,https://ieeexplore.ieee.org/author/37407972900,"INRIA, Paris, France",True
1998,10.1109/VISUAL.1998.745280,Large scale terrain visualization using the restricted quadtree triangulation,1.0,1.0,R. Pajarola,https://ieeexplore.ieee.org/author/37282193800,"ETH, Zurich, Switzerland",True
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,2.0,1.0,J.C. Xia,https://ieeexplore.ieee.org/author/37850740800,"State University of New York, Stony Brook, USA",True
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,2.0,2.0,A. Varshney,https://ieeexplore.ieee.org/author/37282560200,"State University of New York, Stony Brook, USA",True
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,3.0,1.0,Marco Tarini,https://ieeexplore.ieee.org/author/37591264000,"Università dell'Insubria, Varese, Italy",True
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,3.0,2.0,Paolo Cignoni,https://ieeexplore.ieee.org/author/37265783400,"I. S. T. I.-C. N. R, Pisa, Italy",True
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,3.0,3.0,Claudio Montani,https://ieeexplore.ieee.org/author/37265786500,"I. S. T. I.-C. N. R, Pisa, Italy",True
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,3.0,1.0,Michael Sedlmair,https://ieeexplore.ieee.org/author/37590945600,"University of British, Colombia",True
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,3.0,2.0,Miriah Meyer,https://ieeexplore.ieee.org/author/37564728700,"University of Utah, USA",True
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,3.0,3.0,Tamara Munzner,https://ieeexplore.ieee.org/author/37349490300,"University of British, Colombia",True
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,1.0,Nivan Ferreira,https://ieeexplore.ieee.org/author/38018628600,"Polytechnic Institute of New York University, USA",True
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,2.0,Jorge Poco,https://ieeexplore.ieee.org/author/38548192600,"Polytechnic Institute of New York University, USA",True
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,3.0,Huy T. Vo,https://ieeexplore.ieee.org/author/37549893300,"CUSP, New York University, USA",True
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,4.0,Juliana Freire,https://ieeexplore.ieee.org/author/37283149600,"Polytechnic Institute of New York University, USA",True
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,5.0,Cláudio T. Silva,https://ieeexplore.ieee.org/author/37275249200,"Polytechnic Institute of New York University, USA",True
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,1.0,S. Parker,https://ieeexplore.ieee.org/author/37361048100,"Computer Science Department, University of Utah, USA",True
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,2.0,P. Shirley,https://ieeexplore.ieee.org/author/37266808400,"Computer Science Department, University of Utah, USA",True
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,3.0,Y. Livnat,https://ieeexplore.ieee.org/author/37282553200,"Computer Science Department, University of Utah, USA",True
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,4.0,C. Hansen,https://ieeexplore.ieee.org/author/37266777200,"Computer Science Department, University of Utah, USA",True
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,5.0,P.-P. Sloan,https://ieeexplore.ieee.org/author/37373213900,"Computer Science Department, University of Utah, USA",True
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,3.0,1.0,Jock Mackinlay,https://ieeexplore.ieee.org/author/37372036700,"Tableau Software, USA",True
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,3.0,2.0,Pat Hanrahan,https://ieeexplore.ieee.org/author/37349803800,"Stanford University and Tableau Software, USA",True
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,3.0,3.0,Chris Stolte,https://ieeexplore.ieee.org/author/37442008700,"Tableau Software, USA",True
1997,10.1109/INFVIS.1997.636718,H3: laying out large directed graphs in 3D hyperbolic space,1.0,1.0,T. Munzner,https://ieeexplore.ieee.org/author/37349490300,"University of Stanford, Stanford, CA, USA",True
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,3.0,1.0,U. Clarenz,https://ieeexplore.ieee.org/author/37268037900,"Institute for Applied Mathematics, University of Bonn, Bonn, Germany",True
