Year,DOI,IEEE Title,Title on Google Scholar,Citation Link,Citation Counts on Google Scholar
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,Dynamic view-dependent simplification for polygonal models,"https://scholar.google.com/scholar?cites=14163398910258915818&as_sdt=5,50&sciodt=0,50&hl=en",507
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,Ambient occlusion and edge cueing for enhancing real time molecular visualization,"https://scholar.google.com/scholar?cites=634234985862420737&as_sdt=5,50&sciodt=0,50&hl=en",489
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,Design study methodology: Reflections from the trenches and the stacks,"https://scholar.google.com/scholar?cites=7541022507834958492&as_sdt=5,50&sciodt=0,50&hl=en",751
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,Visual exploration of big spatio-temporal urban data: A study of new york city taxi trips,"https://scholar.google.com/scholar?cites=7792356896455016785&as_sdt=5,50&sciodt=0,50&hl=en",578
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,Interactive ray tracing for isosurface rendering,"https://scholar.google.com/scholar?cites=11027684188680814564&as_sdt=5,50&sciodt=0,50&hl=en",518
2007,10.1109/TVCG.2007.70594,Show Me: Automatic Presentation for Visual Analysis,Show me: Automatic presentation for visual analysis,"https://scholar.google.com/scholar?cites=17596127639180308130&as_sdt=5,50&sciodt=0,50&hl=en",535
1997,10.1109/INFVIS.1997.636718,H3: laying out large directed graphs in 3D hyperbolic space,H3: Laying out large directed graphs in 3D hyperbolic space,"https://scholar.google.com/scholar?cites=5097053743551660522&as_sdt=5,50&sciodt=0,50&hl=en",488
2000,10.1109/VISUAL.2000.885721,Anisotropic geometric diffusion in surface processing,[BOOK] Anisotropic geometric diffusion in surface processing,"https://scholar.google.com/scholar?cites=5234719346092999943&as_sdt=5,50&sciodt=0,50&hl=en",399
1997,10.1109/INFVIS.1997.636792,The structure of the information visualization design space,The structure of the information visualization design space,"https://scholar.google.com/scholar?cites=11501272902493683925&as_sdt=5,50&sciodt=0,50&hl=en",571
1998,10.1109/VISUAL.1998.745314,Fast and memory efficient polygonal simplification,Fast and memory efficient polygonal simplification,"https://scholar.google.com/scholar?cites=11800807544368693054&as_sdt=5,50&sciodt=0,50&hl=en",527
2009,10.1109/TVCG.2009.171,Participatory Visualization with Wordle,Participatory visualization with wordle,"https://scholar.google.com/scholar?cites=17958580468146386822&as_sdt=5,50&sciodt=0,50&hl=en",519
2001,10.1109/INFVIS.2001.963273,Visualizing time-series on spirals,[PDF] Visualizing time-series on spirals.,"https://scholar.google.com/scholar?cites=3421268393639424250&as_sdt=5,50&sciodt=0,50&hl=en",505
2007,10.1109/TVCG.2007.70535,A Taxonomy of Clutter Reduction for Information Visualisation,A taxonomy of clutter reduction for information visualisation,"https://scholar.google.com/scholar?cites=8153732051450270284&as_sdt=5,50&sciodt=0,50&hl=en",503
2004,10.1109/INFVIS.2004.1,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,A comparison of the readability of graphs using node-link and matrix-based representations,"https://scholar.google.com/scholar?cites=16517758380774679522&as_sdt=5,50&sciodt=0,50&hl=en",516
1997,10.1109/VISUAL.1997.663875,The contour spectrum,[BOOK] The contour spectrum,"https://scholar.google.com/scholar?cites=6716319006367199614&as_sdt=5,50&sciodt=0,50&hl=en",545
2005,10.1109/VISUAL.2005.1532788,VisTrails: enabling interactive multiple-view visualizations,Vistrails: Enabling interactive multiple-view visualizations,"https://scholar.google.com/scholar?cites=994507953310156275&as_sdt=5,50&sciodt=0,50&hl=en",482
2006,10.1109/TVCG.2006.166,Network Visualization by Semantic Substrates,Network visualization by semantic substrates,"https://scholar.google.com/scholar?cites=12703264749400499061&as_sdt=5,50&sciodt=0,50&hl=en",471
2008,10.1109/TVCG.2008.166,Stacked Graphs – Geometry & Aesthetics,Stacked graphs–geometry & aesthetics,"https://scholar.google.com/scholar?cites=16889907849878804551&as_sdt=5,50&sciodt=0,50&hl=en",543
1997,10.1109/VISUAL.1997.663888,Application-controlled demand paging for out-of-core visualization,Application-controlled demand paging for out-of-core visualization,"https://scholar.google.com/scholar?cites=2406834741164659697&as_sdt=5,50&sciodt=0,50&hl=en",655
1990,10.1109/VISUAL.1990.146375,A problem-oriented classification of visualization techniques,A problem-oriented classification of visualization techniques,"https://scholar.google.com/scholar?cites=419549314130500738&as_sdt=5,50&sciodt=0,50&hl=en",475
2004,10.1109/INFVIS.2004.64,The InfoVis Toolkit,The infovis toolkit,"https://scholar.google.com/scholar?cites=15218141395810773988&as_sdt=5,50&sciodt=0,50&hl=en",416
2007,10.1109/TVCG.2007.70541,Casual Information Visualization: Depictions of Data in Everyday Life,Casual information visualization: Depictions of data in everyday life,"https://scholar.google.com/scholar?cites=17608386215169778642&as_sdt=5,50&sciodt=0,50&hl=en",487
1994,10.1109/VISUAL.1994.346331,An evaluation of reconstruction filters for volume rendering,An evaluation of reconstruction filters for volume rendering,"https://scholar.google.com/scholar?cites=6870359654828816295&as_sdt=5,50&sciodt=0,50&hl=en",425
2011,10.1109/VAST.2011.6102456,SensePlace2: GeoTwitter analytics support for situational awareness,Senseplace2: Geotwitter analytics support for situational awareness,"https://scholar.google.com/scholar?cites=7680583070969974278&as_sdt=5,50&sciodt=0,50&hl=en",444
2005,10.1109/VISUAL.2005.1532781,The value of visualization,The value of visualization,"https://scholar.google.com/scholar?cites=2858453649485287908&as_sdt=5,50&sciodt=0,50&hl=en",564
2011,10.1109/TVCG.2011.239,TextFlow: Towards Better Understanding of Evolving Topics in Text,Textflow: Towards better understanding of evolving topics in text,"https://scholar.google.com/scholar?cites=3618160325942856008&as_sdt=5,50&sciodt=0,50&hl=en",453
2000,10.1109/VISUAL.2000.885694,Volume illustration: non-photorealistic rendering of volume models,Volume illustration: Nonphotorealistic rendering of volume models,"https://scholar.google.com/scholar?cites=15827997805613073738&as_sdt=5,50&sciodt=0,50&hl=en",515
1991,10.1109/VISUAL.1991.175794,Interactive data visualization using focusing and linking,[PDF] Interactive data visualization using focusing and linking,"https://scholar.google.com/scholar?cites=17250434359220128950&as_sdt=5,50&sciodt=0,50&hl=en",433
2004,10.1109/INFVIS.2004.15,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,Clutter reduction in multi-dimensional data visualization using dimension reordering,"https://scholar.google.com/scholar?cites=2530588340825406200&as_sdt=5,50&sciodt=0,50&hl=en",401
2008,10.1109/TVCG.2008.125,Effectiveness of Animation in Trend Visualization,Effectiveness of animation in trend visualization,"https://scholar.google.com/scholar?cites=15698712252326592629&as_sdt=5,50&sciodt=0,50&hl=en",464
2009,10.1109/TVCG.2009.174,Protovis: A Graphical Toolkit for Visualization,Protovis: A graphical toolkit for visualization,"https://scholar.google.com/scholar?cites=10727426976592107446&as_sdt=5,50&sciodt=0,50&hl=en",486
2013,10.1109/TVCG.2013.124,A Multi-Level Typology of Abstract Visualization Tasks,A multi-level typology of abstract visualization tasks,"https://scholar.google.com/scholar?cites=16653682503280228639&as_sdt=5,50&sciodt=0,50&hl=en",639
1990,10.1109/VISUAL.1990.146386,Exploring N-dimensional databases,Exploring n-dimensional databases,"https://scholar.google.com/scholar?cites=3453820789159301561&as_sdt=5,50&sciodt=0,50&hl=en",413
2001,10.1109/VISUAL.2001.964533,Visualization of large terrains made easy,Visualization of large terrains made easy,"https://scholar.google.com/scholar?cites=16895102933080748483&as_sdt=5,50&sciodt=0,50&hl=en",489
2008,10.1109/TVCG.2008.135,Geometry-Based Edge Clustering for Graph Visualization,Geometry-based edge clustering for graph visualization,"https://scholar.google.com/scholar?cites=1825863198917822690&as_sdt=5,50&sciodt=0,50&hl=en",394
1999,10.1109/INFVIS.1999.801860,Cushion treemaps: visualization of hierarchical information,Cushion treemaps: Visualization of hierarchical information,"https://scholar.google.com/scholar?cites=11224347482079966179&as_sdt=5,50&sciodt=0,50&hl=en",434
2008,10.1109/TVCG.2008.172,"The Word Tree, an Interactive Visual Concordance","The word tree, an interactive visual concordance","https://scholar.google.com/scholar?cites=3581458597667652269&as_sdt=5,50&sciodt=0,50&hl=en",437
1996,10.1109/VISUAL.1996.568125,Optimizing triangle strips for fast rendering,Optimizing triangle strips for fast rendering,"https://scholar.google.com/scholar?cites=17785947010595138651&as_sdt=5,50&sciodt=0,50&hl=en",373
2007,10.1109/VAST.2007.4389011,Design Considerations for Collaborative Visual Analytics,Design considerations for collaborative visual analytics,"https://scholar.google.com/scholar?cites=15385474816585055962&as_sdt=5,50&sciodt=0,50&hl=en",412
1995,10.1109/VISUAL.1995.485139,High Dimensional Brushing for Interactive Exploration of Multivariate Data,[PDF] High-dimensional brushing for interactive exploration of multivariate data.,"https://scholar.google.com/scholar?cites=17979977587541376838&as_sdt=5,50&sciodt=0,50&hl=en",335
1998,10.1109/INFVIS.1998.729559,Similarity clustering of dimensions for an enhanced visualization of multidimensional data,Similarity clustering of dimensions for an enhanced visualization of multidimensional data,"https://scholar.google.com/scholar?cites=13058570348433729215&as_sdt=5,50&sciodt=0,50&hl=en",343
2001,10.1109/INFVIS.2001.963279,Animated exploration of dynamic graphs with radial layout,[PDF] Animated exploration of graphs with radial layout,"https://scholar.google.com/scholar?cites=6994391242889541308&as_sdt=5,50&sciodt=0,50&hl=en",424
2005,10.1109/INFVIS.2005.1532150,Flow map layout,Flow map layout,"https://scholar.google.com/scholar?cites=11637998431407651942&as_sdt=5,50&sciodt=0,50&hl=en",416
2002,10.1109/VISUAL.2002.1183766,Geometric surface smoothing via anisotropic diffusion of normals,Geometric surface smoothing via anisotropic diffusion of normals,"https://scholar.google.com/scholar?cites=15825971987537931874&as_sdt=5,50&sciodt=0,50&hl=en",339
1995,10.1109/VISUAL.1995.485140,Recursive pattern: a technique for visualizing very large amounts of data,Recursive pattern: A technique for visualizing very large amounts of data,"https://scholar.google.com/scholar?cites=3191576036200736690&as_sdt=5,50&sciodt=0,50&hl=en",363
1999,10.1109/VISUAL.1999.809908,Multiresolution techniques for interactive texture-based volume visualization,[BOOK] Multiresolution techniques for interactive texture-based volume visualization,"https://scholar.google.com/scholar?cites=4797931035074555236&as_sdt=5,50&sciodt=0,50&hl=en",418
1996,10.1109/INFVIS.1996.559214,Techniques for non-linear magnification transformations,Techniques for non-linear magnification transformations,"https://scholar.google.com/scholar?cites=8363345778507373235&as_sdt=5,50&sciodt=0,50&hl=en",216
1991,10.1109/VISUAL.1991.175773,A tool for visualizing the topology of three-dimensional vector fields,[CITATION] A tool for visualizing the topology of three-dimensional vector fields,"https://scholar.google.com/scholar?cites=17437623302222250489&as_sdt=5,50&sciodt=0,50&hl=en",371
1997,10.1109/VISUAL.1997.663916,DNA visual and analytic data mining,DNA visual and analytic data mining,"https://scholar.google.com/scholar?cites=4936044815799531625&as_sdt=5,50&sciodt=0,50&hl=en",426
2006,10.1109/TVCG.2006.143,Fast and Efficient Compression of Floating-Point Data,Fast and efficient compression of floating-point data,"https://scholar.google.com/scholar?cites=18115449830483963829&as_sdt=5,50&sciodt=0,50&hl=en",447
1997,10.1109/VISUAL.1997.663902,Optimized geometry compression for real-time rendering,[BOOK] Optimized geometry compression for real-time rendering,"https://scholar.google.com/scholar?cites=2104961879814997293&as_sdt=5,50&sciodt=0,50&hl=en",318
2006,10.1109/TVCG.2006.120,ASK-GraphView: A Large Scale Graph Visualization System,Ask-graphview: A large scale graph visualization system,"https://scholar.google.com/scholar?cites=15893512396636776114&as_sdt=5,50&sciodt=0,50&hl=en",388
2006,10.1109/TVCG.2006.160,MatrixExplorer: a Dual-Representation System to Explore Social Networks,Matrixexplorer: a dual-representation system to explore social networks,"https://scholar.google.com/scholar?cites=14140456366783833117&as_sdt=5,50&sciodt=0,50&hl=en",395
2002,10.1109/INFVIS.2002.1173156,Interactive information visualization of a million items,Interactive information visualization of a million items,"https://scholar.google.com/scholar?cites=17456422795890857185&as_sdt=5,50&sciodt=0,50&hl=en",363
1996,10.1109/VISUAL.1996.568127,Octree-based decimation of marching cubes surfaces,Octree-based decimation of marching cubes surfaces,"https://scholar.google.com/scholar?cites=12081471121351048280&as_sdt=5,50&sciodt=0,50&hl=en",332
2008,10.1109/TVCG.2008.137,"Graphical Histories for Visualization: Supporting Analysis, Communication, and Evaluation","Graphical histories for visualization: Supporting analysis, communication, and evaluation","https://scholar.google.com/scholar?cites=9985904681940263995&as_sdt=5,50&sciodt=0,50&hl=en",401
1996,10.1109/VISUAL.1996.568113,Generation of transfer functions with stochastic search techniques,Generation of transfer functions with stochastic search techniques,"https://scholar.google.com/scholar?cites=12338818511976417063&as_sdt=5,50&sciodt=0,50&hl=en",339
2009,10.1109/TVCG.2009.122,Bubble Sets: Revealing Set Relations with Isocontours over Existing Visualizations,Bubble sets: Revealing set relations with isocontours over existing visualizations,"https://scholar.google.com/scholar?cites=4775030116310893230&as_sdt=5,50&sciodt=0,50&hl=en",384
1999,10.1109/VISUAL.1999.809894,Tensorlines: advection-diffusion based propagation through diffusion tensor fields,Tensorlines: Advection-diffusion based propagation through diffusion tensor fields,"https://scholar.google.com/scholar?cites=12295516818878045525&as_sdt=5,50&sciodt=0,50&hl=en",367
1996,10.1109/VISUAL.1996.567752,The design and implementation of an object-oriented toolkit for 3D graphics and visualization,The design and implementation of an object-oriented toolkit for 3D graphics and visualization,"https://scholar.google.com/scholar?cites=5189141383933892483&as_sdt=5,50&sciodt=0,50&hl=en",394
1996,10.1109/VISUAL.1996.568124,Mesh reduction with error control,Mesh reduction with error control,"https://scholar.google.com/scholar?cites=17620733667636399536&as_sdt=5,50&sciodt=0,50&hl=en",342
2012,10.1109/TVCG.2012.219,Enterprise Data Analysis and Visualization: An Interview Study,Enterprise data analysis and visualization: An interview study,"https://scholar.google.com/scholar?cites=18320049409020037235&as_sdt=5,50&sciodt=0,50&hl=en",461
1992,10.1109/VISUAL.1992.235211,Constructing stream surfaces in steady 3D vector fields,Constructing stream surfaces in steady 3D vector fields,"https://scholar.google.com/scholar?cites=7176788514515013351&as_sdt=5,50&sciodt=0,50&hl=en",360
1996,10.1109/VISUAL.1996.568118,Choosing effective colours for data visualization,Choosing effective colours for data visualization,"https://scholar.google.com/scholar?cites=11728399935604258574&as_sdt=5,50&sciodt=0,50&hl=en",406
2005,10.1109/VISUAL.2005.1532826,Evolutionary morphing,[BOOK] Evolutionary morphing,"https://scholar.google.com/scholar?cites=10288554913432203894&as_sdt=5,50&sciodt=0,50&hl=en",436
2002,10.1109/INFVIS.2002.1173155,Arc diagrams: visualizing structure in strings,Arc diagrams: Visualizing structure in strings,"https://scholar.google.com/scholar?cites=13536018817415252293&as_sdt=5,50&sciodt=0,50&hl=en",397
2001,10.1109/INFVIS.2001.963283,Ordered treemap layouts,[PDF] Ordered treemap layouts,"https://scholar.google.com/scholar?cites=2494401231607294262&as_sdt=5,50&sciodt=0,50&hl=en",354
1995,10.1109/INFVIS.1995.528688,IVEE: an Information Visualization and Exploration Environment,IVEE: An information visualization and exploration environment,"https://scholar.google.com/scholar?cites=13992893816881452607&as_sdt=5,50&sciodt=0,50&hl=en",291
2009,10.1109/VAST.2009.5333443,Parallel Tag Clouds to explore and analyze faceted text corpora,Parallel tag clouds to explore and analyze faceted text corpora,"https://scholar.google.com/scholar?cites=2375653158054527923&as_sdt=5,50&sciodt=0,50&hl=en",327
1997,10.1109/INFVIS.1997.636793,Multidimensional detective,Multidimensional detective,"https://scholar.google.com/scholar?cites=17012429035366204478&as_sdt=5,50&sciodt=0,50&hl=en",390
2001,10.1109/VISUAL.2001.964508,PixelFlex: a reconfigurable multi-projector display system,Pixelflex: A reconfigurable multi-projector display system,"https://scholar.google.com/scholar?cites=6520153887366763708&as_sdt=5,50&sciodt=0,50&hl=en",275
2002,10.1109/INFVIS.2002.1173157,Angular brushing of extended parallel coordinates,Angular brushing of extended parallel coordinates,"https://scholar.google.com/scholar?cites=2207664002810295766&as_sdt=5,50&sciodt=0,50&hl=en",350
2002,10.1109/VISUAL.2002.1183757,Interactive rendering of large volume data sets,Interactive rendering of large volume data sets,"https://scholar.google.com/scholar?cites=13995155489482436866&as_sdt=5,50&sciodt=0,50&hl=en",332
1997,10.1109/VISUAL.1997.663893,Virtualized reality: constructing time-varying virtual worlds from real world events,Virtualized reality: Constructing time-varying virtual worlds from real world events,"https://scholar.google.com/scholar?cites=8951929084873879091&as_sdt=5,50&sciodt=0,50&hl=en",140
1999,10.1109/VIS.1999.10000,Progressive Compression of Arbitrary Triangular Meshes,[PDF] Progressive compression of arbitrary triangular meshes,"https://scholar.google.com/scholar?cites=15495093763470026428&as_sdt=5,50&sciodt=0,50&hl=en",247
2007,10.1109/TVCG.2007.70589,Scented Widgets: Improving Navigation Cues with Embedded Visualizations,Scented widgets: Improving navigation cues with embedded visualizations,"https://scholar.google.com/scholar?cites=6061766470703590272&as_sdt=5,50&sciodt=0,50&hl=en",322
2002,10.1109/VISUAL.2002.1183795,Bounded-distortion piecewise mesh parameterization,Bounded-distortion piecewise mesh parameterization,"https://scholar.google.com/scholar?cites=8994098059965932946&as_sdt=5,50&sciodt=0,50&hl=en",293
2013,10.1109/TVCG.2013.234,What Makes a Visualization Memorable?,What makes a visualization memorable?,"https://scholar.google.com/scholar?cites=9266838959966617328&as_sdt=5,50&sciodt=0,50&hl=en",584
2002,10.1109/VISUAL.2002.1183754,CPR - curved planar reformation,[BOOK] CPR-curved planar reformation,"https://scholar.google.com/scholar?cites=519950956442718185&as_sdt=5,50&sciodt=0,50&hl=en",287
2003,10.1109/INFVIS.2003.1249011,Multiscale visualization of small world networks,Multiscale visualization of small world networks,"https://scholar.google.com/scholar?cites=7918807983577496089&as_sdt=5,50&sciodt=0,50&hl=en",309
2006,10.1109/TVCG.2006.122,Balancing Systematic and Flexible Exploration of Social Networks,Balancing systematic and flexible exploration of social networks,"https://scholar.google.com/scholar?cites=14778921469839949473&as_sdt=5,50&sciodt=0,50&hl=en",304
2006,10.1109/TVCG.2006.152,Importance-Driven Focus of Attention,Importance-driven focus of attention,"https://scholar.google.com/scholar?cites=14364218957696028432&as_sdt=5,50&sciodt=0,50&hl=en",254
2007,10.1109/TVCG.2007.70570,Interactive Visual Exploration of a Large Spatio-temporal Dataset: Reflections on a Geovisualization Mashup.,Interactive visual exploration of a large spatio-temporal dataset: Reflections on a geovisualization mashup.,"https://scholar.google.com/scholar?cites=16672691757555068284&as_sdt=5,50&sciodt=0,50&hl=en",278
2005,10.1109/INFVIS.2005.1532142,Graph-theoretic scagnostics,[PDF] Graph-theoretic scagnostics,"https://scholar.google.com/scholar?cites=3845724768264432464&as_sdt=5,50&sciodt=0,50&hl=en",366
1995,10.1109/VISUAL.1995.480803,A rule-based tool for assisting colormap selection,A rule-based tool for assisting colormap selection,"https://scholar.google.com/scholar?cites=15282713766306306291&as_sdt=5,50&sciodt=0,50&hl=en",320
