Conference,Year,Title,DOI,FirstPage,LastPage,PaperType,OpenAlex Year,OpenAlex Publication Date,OpenAlex ID,OpenAlex Venue Name,OpenAlex First Page,OpenAlex Last Page,Number of Pages,Number of References,Number of Concepts,Number of Citations,Number of Authors,Cross-type Collaboration,Cross-country Collaboration,With US Authors,Both Cross-type and Cross-country Collaboration,IEEE Title,Citation Counts on Google Scholar,Award,Award Name,Award Track
Vis,1999,New quadric metric for simplifying meshes with appearance attributes,10.1109/VISUAL.1999.809869,59,510,C,1999,1999-01-01,W3150574965,ieee visualization,59.0,510.0,452.0,13,5,118,1.0,False,False,True,False,New quadric metric for simplifying meshes with appearance attributes,581,False,,
Vis,1999,Multi-projector displays using camera-based registration,10.1109/VISUAL.1999.809883,161,522,C,1999,1999-10-24,W2087597683,ieee visualization,161.0,168.0,8.0,16,12,252,8.0,False,False,True,False,Multi-projector displays using camera-based registration,515,False,,
Vis,1996,A haptic interaction method for volume visualization,10.1109/VISUAL.1996.568108,197,204,C,1996,1996-10-27,W2148307697,ieee visualization,197.0,204.0,8.0,17,17,269,2.0,False,False,True,False,A haptic interaction method for volume visualization,438,False,,
InfoVis,2002,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",10.1109/INFVIS.2002.1173148,57,64,C,2002,2002-10-28,W2130675236,ieee symposium on information visualization,57.0,64.0,8.0,26,10,294,3.0,False,False,True,False,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",512,False,,
InfoVis,2007,Animated Transitions in Statistical Data Graphics,10.1109/TVCG.2007.70539,1240,1247,J,2007,2007-11-01,W2125215841,IEEE Transactions on Visualization and Computer Graphics,1240.0,1247.0,8.0,25,14,339,2.0,True,False,True,False,Animated Transitions in Statistical Data Graphics,575,False,,
InfoVis,2008,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,10.1109/TVCG.2008.153,1141,1148,J,2008,2008-10-24,W2110080554,IEEE Transactions on Visualization and Computer Graphics,1141.0,1148.0,8.0,44,16,352,3.0,False,False,False,False,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,534,True,BP,InfoVis
Vis,1998,Large scale terrain visualization using the restricted quadtree triangulation,10.1109/VISUAL.1998.745280,19,26,C,1998,1998-10-18,W2099404391,ieee visualization,19.0,26.0,8.0,19,14,264,1.0,False,False,False,False,Large scale terrain visualization using the restricted quadtree triangulation,529,False,,
Vis,1996,Dynamic view-dependent simplification for polygonal models,10.1109/VISUAL.1996.568126,327,334,C,1996,1996-10-27,W2150851531,ieee visualization,327.0,334.0,8.0,22,12,249,2.0,False,False,True,False,Dynamic view-dependent simplification for polygonal models,507,False,,
Vis,2006,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,10.1109/TVCG.2006.115,1237,1244,J,2006,2006-09-01,W2154069299,IEEE Transactions on Visualization and Computer Graphics,1237.0,1244.0,8.0,30,10,344,3.0,True,False,False,False,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,489,False,,
InfoVis,2012,Design Study Methodology: Reflections from the Trenches and the Stacks,10.1109/TVCG.2012.213,2431,2440,J,2012,2012-12-01,W1970569592,IEEE Transactions on Visualization and Computer Graphics,2431.0,2440.0,10.0,69,11,423,3.0,False,True,True,False,Design Study Methodology: Reflections from the Trenches and the Stacks,751,True,HM,InfoVis
VAST,2013,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,10.1109/TVCG.2013.226,2149,2158,J,2013,2013-12-01,W2056638635,IEEE Transactions on Visualization and Computer Graphics,2149.0,2158.0,10.0,34,14,372,5.0,False,False,True,False,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,578,False,,
Vis,1998,Interactive ray tracing for isosurface rendering,10.1109/VISUAL.1998.745713,233,238,C,1998,1998-10-18,W2126053368,ieee visualization,233.0,238.0,6.0,15,9,249,5.0,False,False,True,False,Interactive ray tracing for isosurface rendering,518,True,BP,Vis
InfoVis,2007,Show Me: Automatic Presentation for Visual Analysis,10.1109/TVCG.2007.70594,1137,1144,J,2007,2007-11-01,W2152922709,IEEE Transactions on Visualization and Computer Graphics,1137.0,1144.0,8.0,11,12,366,3.0,True,False,True,False,Show Me: Automatic Presentation for Visual Analysis,535,False,,
InfoVis,1997,H3: laying out large directed graphs in 3D hyperbolic space,10.1109/INFVIS.1997.636718,2,10,C,1997,1997-10-18,W1968305696,ieee symposium on information visualization,2.0,10.0,9.0,26,9,276,1.0,False,False,True,False,H3: laying out large directed graphs in 3D hyperbolic space,488,False,,
Vis,2000,Anisotropic geometric diffusion in surface processing,10.1109/VISUAL.2000.885721,397,405,C,2000,2000-01-01,W3148091194,ieee visualization,397.0,405.0,9.0,12,6,264,3.0,False,False,False,False,Anisotropic geometric diffusion in surface processing,399,False,,
InfoVis,1997,The structure of the information visualization design space,10.1109/INFVIS.1997.636792,92,99,C,1997,1997-10-18,W1617242785,ieee symposium on information visualization,92.0,99.0,8.0,25,10,292,2.0,False,False,True,False,The structure of the information visualization design space,571,False,,
Vis,1998,Fast and memory efficient polygonal simplification,10.1109/VISUAL.1998.745314,279,286,C,1998,1998-10-18,W2144083240,ieee visualization,279.0,286.0,8.0,25,10,253,2.0,False,False,True,False,Fast and memory efficient polygonal simplification,527,False,,
InfoVis,2009,Participatory Visualization with Wordle,10.1109/TVCG.2009.171,1137,1144,J,2009,2009-11-01,W2016268421,IEEE Transactions on Visualization and Computer Graphics,1137.0,1144.0,8.0,12,12,323,3.0,False,False,True,False,Participatory Visualization with Wordle,519,False,,
InfoVis,2001,Visualizing time-series on spirals,10.1109/INFVIS.2001.963273,7,13,C,2001,2001-10-22,W2097236039,ieee symposium on information visualization,7.0,13.0,7.0,15,13,271,3.0,False,False,False,False,Visualizing time-series on spirals,505,False,,
InfoVis,2007,A Taxonomy of Clutter Reduction for Information Visualisation,10.1109/TVCG.2007.70535,1216,1223,J,2007,2007-11-01,W2150085383,IEEE Transactions on Visualization and Computer Graphics,1216.0,1223.0,8.0,52,16,308,2.0,False,False,False,False,A Taxonomy of Clutter Reduction for Information Visualisation,503,False,,
InfoVis,2004,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,10.1109/INFVIS.2004.1,17,24,C,2004,2004-10-10,W2171381161,ieee symposium on information visualization,17.0,24.0,8.0,10,10,281,3.0,False,False,False,False,A Comparison of the Readability of Graphs Using Node-Link and Matrix-Based Representations,516,False,,
Vis,1997,The contour spectrum,10.1109/VISUAL.1997.663875,167,173,C,1997,1997-01-01,W2011658854,international conference on computer graphics and interactive techniques,192.0,,,4,12,254,3.0,False,False,True,False,The contour spectrum,545,False,,
Vis,2005,VisTrails: enabling interactive multiple-view visualizations,10.1109/VISUAL.2005.1532788,135,142,C,2005,2005-11-21,W2097284091,ieee visualization,135.0,142.0,8.0,26,12,287,7.0,True,False,True,False,VisTrails: enabling interactive multiple-view visualizations,482,False,,
InfoVis,2006,Network Visualization by Semantic Substrates,10.1109/TVCG.2006.166,733,740,J,2006,2006-09-01,W2167306162,IEEE Transactions on Visualization and Computer Graphics,733.0,740.0,8.0,40,13,250,2.0,False,False,True,False,Network Visualization by Semantic Substrates,471,False,,
InfoVis,2008,Stacked Graphs - Geometry & Aesthetics,10.1109/TVCG.2008.166,1245,1252,J,2008,2008-11-01,W2147997165,IEEE Transactions on Visualization and Computer Graphics,1245.0,1252.0,8.0,11,15,287,2.0,True,False,True,False,Stacked Graphs – Geometry & Aesthetics,543,True,HM,InfoVis
Vis,1997,Application-controlled demand paging for out-of-core visualization,10.1109/VISUAL.1997.663888,235,244,C,1997,1997-10-01,W2080193026,ieee visualization,235.0,244.0,10.0,24,15,265,2.0,False,False,True,False,Application-controlled demand paging for out-of-core visualization,655,False,,
Vis,1990,A problem-oriented classification of visualization techniques,10.1109/VISUAL.1990.146375,139,"143, 469",C,1990,1990-10-23,W2093772787,ieee visualization,139.0,143.0,5.0,4,10,235,2.0,False,False,True,False,A problem-oriented classification of visualization techniques,475,False,,
InfoVis,2004,The InfoVis Toolkit,10.1109/INFVIS.2004.64,167,174,C,2004,2004-10-10,W2118908268,ieee symposium on information visualization,167.0,174.0,8.0,27,7,233,1.0,False,False,False,False,The InfoVis Toolkit,416,False,,
InfoVis,2007,Casual Information Visualization: Depictions of Data in Everyday Life,10.1109/TVCG.2007.70541,1145,1152,J,2007,2007-11-01,W2108458429,IEEE Transactions on Visualization and Computer Graphics,1145.0,1152.0,8.0,37,11,287,3.0,False,False,True,False,Casual Information Visualization: Depictions of Data in Everyday Life,487,False,,
Vis,1994,An evaluation of reconstruction filters for volume rendering,10.1109/VISUAL.1994.346331,100,"107, C10",C,1994,1994-10-17,W2111794246,ieee visualization,100.0,107.0,8.0,16,11,221,2.0,False,True,True,False,An evaluation of reconstruction filters for volume rendering,425,False,,
VAST,2011,SensePlace2: GeoTwitter analytics support for situational awareness,10.1109/VAST.2011.6102456,181,190,C,2011,2011-12-15,W1992399362,visual analytics science and technology,181.0,190.0,10.0,31,10,290,8.0,False,False,True,False,SensePlace2: GeoTwitter analytics support for situational awareness,444,False,,
Vis,2005,The value of visualization,10.1109/VISUAL.2005.1532781,79,86,C,2005,2005-11-21,W2142068257,ieee visualization,79.0,86.0,8.0,29,10,267,1.0,False,False,False,False,The value of visualization,564,True,BP,Vis
InfoVis,2011,TextFlow: Towards Better Understanding of Evolving Topics in Text,10.1109/TVCG.2011.239,2412,2421,J,2011,2011-12-01,W2099223662,IEEE Transactions on Visualization and Computer Graphics,2412.0,2421.0,10.0,36,10,283,8.0,True,True,True,True,TextFlow: Towards Better Understanding of Evolving Topics in Text,453,False,,
Vis,2000,Volume illustration: non-photorealistic rendering of volume models,10.1109/VISUAL.2000.885694,195,202,C,2000,2000-10-01,W2144505248,ieee visualization,195.0,202.0,8.0,41,7,199,2.0,False,False,True,False,Volume illustration: non-photorealistic rendering of volume models,515,True,BP,Vis
Vis,1991,Interactive data visualization using focusing and linking,10.1109/VISUAL.1991.175794,156,"163, 419",C,1991,1991-10-22,W2074126466,ieee visualization,156.0,163.0,8.0,22,10,224,4.0,True,False,True,False,Interactive data visualization using focusing and linking,433,False,,
InfoVis,2004,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,10.1109/INFVIS.2004.15,89,96,C,2004,2004-10-10,W2163925089,ieee symposium on information visualization,89.0,96.0,8.0,28,10,231,3.0,False,False,True,False,Clutter Reduction in Multi-Dimensional Data Visualization Using Dimension Reordering,401,False,,
InfoVis,2008,Effectiveness of Animation in Trend Visualization,10.1109/TVCG.2008.125,1325,1332,J,2008,2008-11-01,W2108230739,IEEE Transactions on Visualization and Computer Graphics,1325.0,1332.0,8.0,13,9,282,5.0,True,False,True,False,Effectiveness of Animation in Trend Visualization,464,False,,
InfoVis,2009,Protovis: A Graphical Toolkit for Visualization,10.1109/TVCG.2009.174,1121,1128,J,2009,2009-11-01,W2098417174,IEEE Transactions on Visualization and Computer Graphics,1121.0,1128.0,8.0,32,13,275,2.0,False,False,True,False,Protovis: A Graphical Toolkit for Visualization,486,False,,
InfoVis,2013,A Multi-Level Typology of Abstract Visualization Tasks,10.1109/TVCG.2013.124,2376,2385,J,2013,2013-12-01,W2073800769,IEEE Transactions on Visualization and Computer Graphics,2376.0,2385.0,10.0,79,13,416,2.0,False,False,False,False,A Multi-Level Typology of Abstract Visualization Tasks,639,False,,
Vis,1990,Exploring N-dimensional databases,10.1109/VISUAL.1990.146386,230,237,C,1990,1990-10-23,W2079257256,ieee visualization,230.0,237.0,8.0,13,10,210,3.0,False,False,True,False,Exploring N-dimensional databases,413,False,,
Vis,2001,Visualization of large terrains made easy,10.1109/VISUAL.2001.964533,363,370,C,2001,2001-10-21,W2105079573,ieee visualization,363.0,371.0,9.0,30,18,200,2.0,False,False,True,False,Visualization of large terrains made easy,489,False,,
InfoVis,2008,Geometry-Based Edge Clustering for Graph Visualization,10.1109/TVCG.2008.135,1277,1284,J,2008,2008-11-01,W2148056538,IEEE Transactions on Visualization and Computer Graphics,1277.0,1284.0,8.0,24,9,239,5.0,True,True,True,True,Geometry-Based Edge Clustering for Graph Visualization,394,False,,
InfoVis,1999,Cushion treemaps: visualization of hierarchical information,10.1109/INFVIS.1999.801860,73,"78, 147",C,1999,1999-10-24,W1735790193,ieee symposium on information visualization,73.0,78.0,6.0,9,13,220,2.0,False,False,False,False,Cushion treemaps: visualization of hierarchical information,434,False,,
InfoVis,2008,"The Word Tree, an Interactive Visual Concordance",10.1109/TVCG.2008.172,1221,1228,J,2008,2008-11-01,W2141880430,IEEE Transactions on Visualization and Computer Graphics,1221.0,1228.0,8.0,13,14,257,2.0,False,False,True,False,"The Word Tree, an Interactive Visual Concordance",437,False,,
Vis,1996,Optimizing triangle strips for fast rendering,10.1109/VISUAL.1996.568125,319,326,C,1996,1996-10-27,W2134859956,ieee visualization,319.0,326.0,8.0,7,13,189,3.0,False,False,True,False,Optimizing triangle strips for fast rendering,373,False,,
VAST,2007,Design Considerations for Collaborative Visual Analytics,10.1109/VAST.2007.4389011,171,178,C,2007,2007-10-30,W2093903345,visual analytics science and technology,171.0,178.0,8.0,71,15,219,2.0,False,False,True,False,Design Considerations for Collaborative Visual Analytics,412,False,,
Vis,1995,High Dimensional Brushing for Interactive Exploration of Multivariate Data,10.1109/VISUAL.1995.485139,271,,C,1995,1995-10-29,W1497740227,ieee visualization,271.0,,,8,9,193,2.0,True,False,True,False,High Dimensional Brushing for Interactive Exploration of Multivariate Data,335,False,,
InfoVis,1998,Similarity clustering of dimensions for an enhanced visualization of multidimensional data,10.1109/INFVIS.1998.729559,52,"60, 153",C,1998,1998-10-19,W1613201427,ieee symposium on information visualization,52.0,60.0,9.0,27,13,216,3.0,True,True,True,True,Similarity clustering of dimensions for an enhanced visualization of multidimensional data,343,False,,
InfoVis,2001,Animated exploration of dynamic graphs with radial layout,10.1109/INFVIS.2001.963279,43,50,C,2001,2001-10-22,W2099166093,ieee symposium on information visualization,43.0,50.0,8.0,15,10,210,4.0,False,False,True,False,Animated exploration of dynamic graphs with radial layout,424,False,,
InfoVis,2005,Flow map layout,10.1109/INFVIS.2005.1532150,219,224,C,2005,2005-10-23,W1593641494,ieee symposium on information visualization,29.0,29.0,1.0,17,12,226,5.0,False,False,True,False,Flow map layout,416,False,,
Vis,2002,Geometric surface smoothing via anisotropic diffusion of normals,10.1109/VISUAL.2002.1183766,125,132,C,2002,2002-10-27,W2110600113,ieee visualization,125.0,132.0,8.0,31,15,188,4.0,False,False,True,False,Geometric surface smoothing via anisotropic diffusion of normals,339,False,,
Vis,1995,Recursive pattern: a technique for visualizing very large amounts of data,10.1109/VISUAL.1995.485140,279,"286, 463",C,1995,1995-10-29,W2146520578,ieee visualization,279.0,286.0,8.0,27,16,207,3.0,False,False,False,False,Recursive pattern: a technique for visualizing very large amounts of data,363,False,,
Vis,1999,Multiresolution Techniques for Interactive Texture-based Volume Visualization,10.1109/VISUAL.1999.809908,355,,C,1999,1999-01-01,W3147279153,ieee visualization,355.0,543.0,189.0,0,8,239,3.0,False,False,True,False,Multiresolution techniques for interactive texture-based volume visualization,418,False,,
InfoVis,1996,Techniques for non-linear magnification transformations,10.1109/INFVIS.1996.559214,38,45,C,1996,1996-10-28,W2119664536,ieee symposium on information visualization,38.0,45.0,8.0,14,9,94,2.0,False,False,True,False,Techniques for non-linear magnification transformations,216,False,,
Vis,1991,A tool for visualizing the topology of three-dimensional vector fields,10.1109/VISUAL.1991.175773,33,"40, 408",C,1991,1991-10-22,W2100350068,ieee visualization,33.0,40.0,8.0,30,9,200,3.0,False,False,True,False,A tool for visualizing the topology of three-dimensional vector fields,371,False,,
Vis,1997,DNA visual and analytic data mining,10.1109/VISUAL.1997.663916,437,441,C,1997,1997-10-01,W2109643392,ieee visualization,437.0,441.0,5.0,7,9,224,5.0,False,False,True,False,DNA visual and analytic data mining,426,False,,
Vis,2006,Fast and Efficient Compression of Floating-Point Data,10.1109/TVCG.2006.143,1245,1250,J,2006,2006-09-01,W2142265837,IEEE Transactions on Visualization and Computer Graphics,1245.0,1250.0,6.0,30,12,280,2.0,True,False,True,False,Fast and Efficient Compression of Floating-Point Data,447,False,,
Vis,1997,Optimized geometry compression for real-time rendering,10.1109/VISUAL.1997.663902,347,354,C,1997,1997-10-01,W1989001601,ieee visualization,347.0,354.0,8.0,8,15,161,1.0,False,False,True,False,Optimized geometry compression for real-time rendering,318,False,,
InfoVis,2006,ASK-graphView: a large scale graph visualization system,10.1109/TVCG.2006.120,669,676,J,2006,2006-09-01,W2131548207,IEEE Transactions on Visualization and Computer Graphics,669.0,676.0,8.0,20,14,237,3.0,True,False,True,False,ASK-GraphView: A Large Scale Graph Visualization System,388,False,,
InfoVis,2006,MatrixExplorer: a Dual-Representation System to Explore Social Networks,10.1109/TVCG.2006.160,677,684,J,2006,2006-09-01,W2128712108,IEEE Transactions on Visualization and Computer Graphics,677.0,684.0,8.0,29,14,227,2.0,True,False,False,False,MatrixExplorer: a Dual-Representation System to Explore Social Networks,395,False,,
InfoVis,2002,Interactive information visualization of a million items,10.1109/INFVIS.2002.1173156,117,124,C,2002,2002-10-28,W2121955354,ieee symposium on information visualization,117.0,124.0,8.0,30,13,203,2.0,False,False,True,False,Interactive information visualization of a million items,363,False,,
Vis,1996,Octree-based decimation of marching cubes surfaces,10.1109/VISUAL.1996.568127,335,342,C,1996,1996-10-27,W2146548103,ieee visualization,335.0,342.0,8.0,7,11,174,4.0,True,False,True,False,Octree-based decimation of marching cubes surfaces,332,False,,
InfoVis,2008,"Graphical Histories for Visualization: Supporting Analysis, Communication, and Evaluation",10.1109/TVCG.2008.137,1189,1196,J,2008,2008-11-01,W2124293601,IEEE Transactions on Visualization and Computer Graphics,1189.0,1196.0,8.0,32,12,229,4.0,True,False,True,False,"Graphical Histories for Visualization: Supporting Analysis, Communication, and Evaluation",401,False,,
Vis,1996,Generation of Transfer Functions with Stochastic Search Technique,10.1109/VISUAL.1996.568113,227,234,C,2002,2002-12-24,W4244065811,Proceedings of Seventh Annual IEEE Visualization '96,,,,0,1,1,4.0,False,False,True,False,Generation of transfer functions with stochastic search techniques,339,False,,
InfoVis,2009,Bubble Sets: Revealing Set Relations with Isocontours over Existing Visualizations,10.1109/TVCG.2009.122,1009,1016,J,2009,2009-11-01,W2152621157,IEEE Transactions on Visualization and Computer Graphics,1009.0,1016.0,8.0,20,11,245,3.0,False,False,False,False,Bubble Sets: Revealing Set Relations with Isocontours over Existing Visualizations,384,False,,
